"title","release_date","genre","director","budget","domestic_revenue","international_revenue","worldwide_revenue","runtime","mpaa_rating","oscar_win"
"20th Century Women",2016-12-28,"Comedy, Drama",Mike Mills,7000000,5664764,1550042,7214806,119,R,NO
A Ghost Story,2017-07-07,"Drama, Fantasy",David Lowery,100000,1596371,355312,1951683,92,R,NO
A Glimpse Inside the Mind of Charles Swan III,2013-02-08,Comedy,Roman Coppola,,45350,165215,210565,86,R,NO
A Most Violent Year,2014-12-31,"Crime, Drama",J.C. Chandor,20000000,5749134,6257936,12007070,125,R,NO
A Prayer Before Dawn,2018-08-10,"Action, Drama, Crime",Jean-Stéphane Sauvaire,,14453,944430,958883,116,R,NO
After Yang,2022-03-04,"Sci-Fi, Drama",Kogonada,,46872,614514,661386,96,PG,NO
American Honey,2016-09-30,"Drama, Adventure",Andrea Arnold,3500000,663246,1627403,2290649,163,R,NO
Amy,2015-07-03,"Documentary, Biographical, Music",Asif Kapadia,3400000,8413144,15293242,23706386,128,R,YES
Backstabbing For Beginners,2018-04-27,"Thriller, Political",Per Fly,8000000,,367000,367000,108,R,NO
Barely Lethal,2015-05-29,"Action, Comedy",Kyle Newman,15000000,6075,927772,933847,96,PG-13,NO
Bodies Bodies Bodies,2022-08-05,"Horror, Comedy",Halina Reijn,,11394824,1529236,12924060,94,R,NO
Boys State,2022-08-14,Documentary,"Amanda McBaine, Jesse Moss",,,,,109,PG-13,NO
C'mon C'mon,2021-11-19,"Drama, B/W",Mike Mills,8300000,1863674,2620525,4484199,109,R,NO
Climax,2019-03-01,"Horror, Drama, Music",Gaspar Noé,2900000,817339,1218705,2036044,97,R,NO
Cut Bank,2015-04-03,Thriller,Matt Shakman,5000000,,288591,288591,93,R,NO
Dark Places,2015-08-07,"Mystery, Thriller",Gilles Paquet-Brenner,20000000,208588,4882264,5090852,113,R,NO
De Palma,2016-06-10,Documentary,"Noah Baumbach, Jake Paltrow",,165237,2808,168045,110,R,NO
Eighth Grade,2018-07-13,"Comedy, Drama, Coming-of-age",Bo Burnham,2000000,13539709,807724,14347433,93,R,NO
Enemy,2014-03-14,"Thriller, Mystery",Denis Villeneuve,,1008726,2459498,3468224,91,R,NO
Equals,2016-07-15,"Sci-Fi, Romance, Drama",Drake Doremus,,33258,2051370,2084628,101,PG-13,NO
Everything Everywhere All At Once,2022-03-25,"Comedy, Action, Drama, Sci-Fi","Dan Kwan, Daniel Scheinert",25000000,69993811,29247882,99241693,139,R,NO
Ex Machina,2015-04-10,Sci-Fi,Alex Garland,15000000,25442958,11453284,36896242,108,R,YES
False Positive,2021-06-25,"Horror, Thriller",John Lee,,,,,92,R,NO
First Cow,2020-03-06,Drama,Kelly Reichardt,,101068,1285541,1386609,122,PG-13,NO
First Reformed,2018-05-18,Drama,Paul Schrader,3500000,3448256,414242,3862498,113,R,NO
Free Fire,2017-04-21,"Action, Comedy",Ben Wheatley,7000000,1799312,1920071,3719383,91,R,NO
Funny Pages,2022-08-26,Comedy,Owen Kline,,,,,86,R,NO
Ginger & Rosa,2013-03-14,Drama,Sally Porter,,1012973,661803,1674776,90,PG-13,NO
Gloria Bell,2019-03-08,"Romance, Comedy, Drama",Sebastián Lelio,,5611123,5533883,11145006,102,R,NO
Good Time,2017-08-11,"Crime, Thriller","Josh Safdie, Benny Safdie",2000000,2026499,1256870,3283369,102,R,NO
Green Room,2016-04-15,"Horror, Thriller, Music",Jeremy Saulnier,5000000,3220371,548843,3769214,95,R,NO
Hereditary,2018-06-08,"Horror, Psychological",Ari Aster,10000000,44069456,36131480,80200936,127,R,NO
High Life,2019-04-05,"Sci-Fi, Horror",Claire Denis,,1225852,907181,2133033,113,R,NO
Hot Summer Nights,2018-07-27,"Crime, Drama, Coming-of-age",Elijah Bynum,,,246133,246133,107,R,NO
How To Talk To Girls At Parties,2018-05-18,"Sci-Fi, Romance, Comedy",John Cameron Mitchell,,84809,300924,385733,102,R,NO
In Fabric,2019-12-06,"Horror, Comedy",Peter Strickland,,,197592,197592,118,R,NO
Into The Forest,2016-07-29,"Drama, Apocalyptic",Patricia Rozema,,9995,82171,92166,101,R,NO
It Comes At Night,2017-06-09,"Horror, Psychological",Trey Edward Shults,5000000,13985117,5750227,19735344,91,R,NO
Krisha,2016-03-18,Drama,Trey Edward Shults,30000,144822,,144822,83,R,NO
Lady Bird,2017-11-01,"Drama, Comedy",Greta Gerwig,10000000,48958273,30028205,78986478,94,R,NO
Laggies,2014-10-24,"Comedy, Romance",Lynn Shelton,5000000,1066981,1312173,2379154,99,R,NO
Lamb,2021-10-08,"Horror, Fantasy, Folk",Valdimar Jóhannsson,,2676410,512677,3189087,106,R,NO
Lean on Pete,2018-04-06,"Drama, Adventure",Andrew Haigh,8000000,1163056,1280528,2443584,121,R,NO
Life After Beth,2014-08-15,"Comedy, Romance, Zombie",Jeff Baena,2400000,88273,186444,274717,89,R,NO
Locke,2014-04-25,"Drama, Psychological",Steven Knight,2000000,1375769,3714839,5090608,85,R,NO
Low Tide,2019-10-04,"Drama, Thriller",Kevin McMullin,,,,,86,R,NO
Marcel the Shell With Shoes On,2022-06-24,"Comedy, Drama, Mockumentary",Dean Fleischer Camp,,6306743,1170,6307913,90,PG,NO
Men,2022-05-20,"Horror, Psychological, Folk",Alex Garland,,7587853,3545961,11133814,100,R,NO
Menashe,2017-07-28,Drama,Joshua Z. Weinstein,,1703036,259229,1962265,82,PG,NO
Mid90s,2018-10-19,"Comedy, Drama, Coming-of-age",Jonah Hill,1700000,7362439,1940583,9303022,85,R,NO
Midsommar,2019-07-02,"Horror, Folk",Ari Aster,9000000,27426361,20542547,47968908,148,R,NO
Minari,2021-02-12,Drama,Lee Isaac Chung,2000000,3110580,8908828,12019408,115,PG-13,YES
Mississippi Grind,2015-09-25,"Comedy, Drama","Anna Boden, Ryan Fleck",7100000,130541,292205,422746,108,R,NO
Mojave,2016-01-22,"Thriller, Crime",William Monahan,,8253,349,8602,93,R,NO
Moonlight,2016-10-21,"Drama, Coming-of-age",Barry Jenkins,1500000,27854932,37481671,65336603,111,R,YES
Morris From America,2016-08-19,"Comedy, Drama, Coming-of-age",Chad Hartigan,,91151,,91151,91,R,NO
Native Son,2019-04-06,Drama,Rashid Johnson,2000000,1301121,,1301121,111,PG-13,NO
Never Goin' Back,2018-08-03,"Drama, Comedy",Augustine Frizzell,,61271,,61271,85,R,NO
Obvious Child,2014-06-06,"Comedy, Romance",Gillian Robespierre,1000000,3123963,201454,3325417,84,R,NO
On The Rocks,2020-10-02,"Comedy, Drama",Sofia Coppola,,,992103,992103,96,R,NO
Outlaws,2019-02-01,"Crime, Drama",Stephen McCallum,,,58652,58652,92,R,NO
Red Rocket,2021-12-10,"Comedy, Drama",Sean Baker,1100000,1023086,1285613,2308699,130,R,NO
Remember,2016-03-11,"Drama, Thriller",Atom Egoyan,9600000,1184564,3051395,4235959,94,R,NO
Revenge of the Green Dragons,2014-10-24,"Crime, Drama","Andrew Lau, Andrew Loo",5000000,,107412,107412,94,R,NO
Room,2015-10-16,"Drama, Thriller",Lenny Abrahamson,13000000,14677654,20724104,35401758,118,R,YES
Saint Maud,2021-01-29,"Horror, Psychological",Rose Glass,,,1383868,1383868,84,R,NO
Share,2019-07-27,"Drama, Coming-of-age",Pippa Bianco,25000,,,,89,R,NO
Skin,2019-07-26,"Drama, Biographical",Guy Nattiv,,,135562,135562,118,R,NO
Slice,2018-09-11,"Horror, Comedy",Austin Vesely,,,,,83,R,NO
Slow West,2015-05-15,"Western, Adventure, Romance",John Maclean,3750000,229094,1066480,1295574,84,R,NO
Son of a Gun,2015-01-23,"Crime, Thriller",Julius Avery,12000000,,660241,660241,108,R,NO
Spring Breakers,2013-03-15,"Comedy, Crime",Harmony Korine,5000000,14124284,18046115,32170399,94,R,NO
Supersonic,2016-10-26,"Documentary, Music",Mat Whitecross,,242867,1235252,1478119,122,R,NO
Swiss Army Man,2016-06-30,"Comedy, Adventure","Dan Kwan, Daniel Scheinert",3000000,4210454,725047,4935501,97,R,NO
The Adderall Diaries,2016-04-15,"Drama, Thriller, Crime",Pamela Romanowsky,,13191,2173,15364,87,R,NO
The Ballad of Lefty Brown,2017-12-15,"Western, Action",Jared Moshe,8000000,7856,,7856,111,R,NO
The Blackcoat's Daughter,2017-03-31,"Horror, Psychological, Supernatural",Oz Perkins,,20435,17913,38348,93,R,NO
The Bling Ring,2013-06-14,"Crime, Satire",Sofia Coppola,8200000,5845732,14199844,20045576,90,R,NO
The Captive,2014-12-12,"Thriller, Mystery",Atom Egoyan,,1075178,1021034,2096212,112,R,NO
